codigo,etapa,ano_ou_faixa,componente,eixo,habilidade
EI03CO01,Educação Infantil,Crianças pequenas (4a a 5a11m),Computação,Pensamento Computacional,"Reconhecer padrão de repetição em sequência de sons, movimentos, desenhos."
EI03CO02,Educação Infantil,Crianças pequenas (4a a 5a11m),Computação,Pensamento Computacional,Expressar as etapas para a realização de uma tarefa de forma clara e ordenada.
EI03CO03,Educação Infantil,Crianças pequenas (4a a 5a11m),Computação,Pensamento Computacional,Experienciar a execução de algoritmos brincando com objetos (des)plugados.
EI03CO04,Educação Infantil,Crianças pequenas (4a a 5a11m),Computação,Pensamento Computacional,Criar e representar algoritmos para resolver problemas.
EI03CO05,Educação Infantil,Crianças pequenas (4a a 5a11m),Computação,Pensamento Computacional,Comparar soluções algorítmicas para resolver um mesmo problema.
EI03CO06,Educação Infantil,Crianças pequenas (4a a 5a11m),Computação,Pensamento Computacional,Compreender decisões em dois estados (verdadeiro ou falso).
EI03CO07,Educação Infantil,Crianças pequenas (4a a 5a11m),Computação,Mundo Digital,"Reconhecer dispositivos eletrônicos (e não-eletrônicos), identificando quando estão ligados ou desligados (abertos ou fechados)."
EI03CO08,Educação Infantil,Crianças pequenas (4a a 5a11m),Computação,Mundo Digital,Compreender o conceito de interfaces para comunicação com objetos (des)plugados.
EI03CO09,Educação Infantil,Crianças pequenas (4a a 5a11m),Computação,Mundo Digital,Identificar dispositivos computacionais e as diferentes formas de interação.
EI03CO10,Educação Infantil,Crianças pequenas (4a a 5a11m),Computação,Cultura Digital,"Utilizar tecnologia digital de maneira segura, consciente e respeitosa."
EI03CO11,Educação Infantil,Crianças pequenas (4a a 5a11m),Computação,Cultura Digital,"Adotar hábitos saudáveis de uso de artefatos computacionais, seguindo recomendações de órgãos de saúde competentes."
EF01CO01,Ensino Fundamental,01,Computação,Pensamento Computacional,"Organizar objetos físicos ou digitais considerando diferentes características para esta organização, explicitando semelhanças (padrões) e diferenças."
EF01CO02,Ensino Fundamental,01,Computação,Pensamento Computacional,Identificar e seguir sequências de passos aplicados no dia a dia para resolver problemas.
EF01CO03,Ensino Fundamental,01,Computação,Pensamento Computacional,"Reorganizar e criar sequências de passos em meios físicos ou digitais, relacionando essas sequências à palavra ""Algoritmos""."
EF01CO04,Ensino Fundamental,01,Computação,Mundo Digital,"Reconhecer o que é a informação, que ela pode ser armazenada, transmitida como mensagem por diversos meios e descrita em várias linguagens."
EF01CO05,Ensino Fundamental,01,Computação,Mundo Digital,Representar informação usando diferentes codificações.
EF01CO06,Ensino Fundamental,01,Computação,Cultura Digital,Reconhecer e explorar artefatos computacionais voltados a atender necessidades pessoais ou coletivas.
EF01CO07,Ensino Fundamental,01,Computação,Cultura Digital,Conhecer as possibilidades de uso seguro das tecnologias computacionais para proteção dos dados pessoais e para garantir a própria segurança.
EF02CO01,Ensino Fundamental,02,Computação,Pensamento Computacional,"Criar e comparar modelos (representações) de objetos, identificando padrões e atributos essenciais."
EF02CO02,Ensino Fundamental,02,Computação,Pensamento Computacional,"Criar e simular algoritmos representados em linguagem oral, escrita ou pictográfica, construídos como sequências com repetições simples (iterações definidas) com base em instruções preestabelecidas ou criadas, analisando como a precisão da instrução impacta na execução do algoritmo."
EF02CO03,Ensino Fundamental,02,Computação,Mundo Digital,Identificar que máquinas diferentes executam conjuntos próprios de instruções e que podem ser usadas para definir algoritmos.
EF02CO04,Ensino Fundamental,02,Computação,Mundo Digital,Diferenciar componentes físicos (hardware) e programas que fornecem as instruções (software) para o hardware.
EF02CO05,Ensino Fundamental,02,Computação,Cultura Digital,Reconhecer as características e usos das tecnologias computacionais no cotidiano dentro e fora da escola.
