codigo,area,habilidade
EM13LGG101,Linguagens e suas Tecnologias,"Compreender e analisar processos de produção e circulação de discursos, nas diferentes linguagens, para fazer escolhas fundamentadas em função de interesses pessoais e coletivos."
EM13LGG102,Linguagens e suas Tecnologias,"Analisar visões de mundo, conflitos de interesse, preconceitos e ideologias presentes nos discursos veiculados nas diferentes mídias como forma de ampliar suas as possibilidades de explicação e interpretação crítica da realidade."
EM13LGG103,Linguagens e suas Tecnologias,"Analisar, de maneira cada vez mais aprofundada, o funcionamento das linguagens, para interpretar e produzir criticamente discursos em textos de diversas semioses."
EM13LGG104,Linguagens e suas Tecnologias,"Utilizar as diferentes linguagens, levando em conta seus funcionamentos, para a compreensão e produção de textos e discursos em diversos campos de atuação social."
EM13LGG105,Linguagens e suas Tecnologias,"Analisar e experimentar diversos processos de remidiação de produções multissemióticas, multimídia e transmídia, como forma de fomentar diferentes modos de participação e intervenção social. 484 BASE NACIONAL COMUM CURRICULAR."
EM13LGG201,Linguagens e suas Tecnologias,"Utilizar adequadamente as diversas linguagens (artísticas, corporais e verbais) em diferentes contextos, valorizando-as como fenômeno social, cultural, histórico, variável, heterogêneo e sensível aos contextos de uso."
EM13LGG202,Linguagens e suas Tecnologias,"Analisar interesses, relações de poder e perspectivas de mundo nos discursos das diversas práticas de linguagem (artísticas, corporais e verbais), para compreender o modo como circulam, constituem-se e (re)produzem significação e ideologias."
EM13LGG203,Linguagens e suas Tecnologias,"Analisar os diálogos e conflitos entre diversidades e os processos de disputa por legitimidade nas práticas de linguagem e suas produções (artísticas, corporais e verbais), presentes na cultura local e em outras culturas."
EM13LGG204,Linguagens e suas Tecnologias,"Negociar sentidos e produzir entendimento mútuo, nas diversas linguagens (artísticas, corporais e verbais), com vistas ao interesse comum pautado em princípios e valores de equidade assentados na democracia e nos Direitos Humanos. 485 LINGUAGENS E SUAS TECNOLOGIAS ENSINO MÉDIO."
EM13LGG301,Linguagens e suas Tecnologias,"Participar de processos de produção individual e colaborativa em diferentes linguagens (artísticas, corporais e verbais), levando em conta seus funcionamentos, para produzir sentidos em diferentes contextos."
EM13LGG302,Linguagens e suas Tecnologias,"Compreender e posicionar-se criticamente diante de diversas visões de mundo presentes nos discursos em diferentes linguagens, levando em conta seus contextos de produção e de circulação."
EM13LGG303,Linguagens e suas Tecnologias,"Debater questões polêmicas de relevância social, analisando diferentes argumentos e opiniões manifestados, para negociar e sustentar posições, formular propostas, e intervir e tomar decisões democraticamente sustentadas, que levem em conta o bem comum e os Direitos Humanos, a consciência socioambiental e o consumo responsável em âmbito local, regional e global."
EM13LGG304,Linguagens e suas Tecnologias,"Mapear e criar, por meio de práticas de linguagem, possibilidades de atuação social, política, artística e cultural para enfrentar desafios contemporâneos, discutindo seus princípios e objetivos de maneira crítica, criativa, solidária e ética. 486 BASE NACIONAL COMUM CURRICULAR."
EM13LGG401,Linguagens e suas Tecnologias,"Analisar textos de modo a caracterizar as línguas como fenômeno (geo)político, histórico, social, variável, heterogêneo e sensível aos contextos de uso."
EM13LGG402,Linguagens e suas Tecnologias,"Empregar, nas interações sociais, a variedade e o estilo de língua adequados à situação comunicativa, ao(s) interlocutor(es) e ao gênero do discurso, respeitando os usos das línguas por esse(s) interlocutor(es) e combatendo situações de preconceito linguístico."
EM13LGG403,Linguagens e suas Tecnologias,"Fazer uso do inglês como língua do mundo global, levando em conta a multiplicidade e variedade de usos, usuários e funções dessa língua no mundo contemporâneo. 487 LINGUAGENS E SUAS TECNOLOGIAS ENSINO MÉDIO."
EM13LGG501,Linguagens e suas Tecnologias,"Selecionar e utilizar movimentos corporais de forma consciente e intencional para interagir socialmente em práticas da cultura corporal, de modo a estabelecer relações construtivas, éticas e de respeito às diferenças."
EM13LGG502,Linguagens e suas Tecnologias,"Analisar criticamente preconceitos, estereótipos e relações de poder subjacentes às práticas e discursos verbais e imagéticos na apreciação e produção das práticas da cultura corporal de movimento."
EM13LGG503,Linguagens e suas Tecnologias,"Praticar, significar e valorizar a cultura corporal de movimento como forma de autoconhecimento, autocuidado e construção de laços sociais em seus projetos de vida. 488 BASE NACIONAL COMUM CURRICULAR."
EM13LGG601,Linguagens e suas Tecnologias,"Apropriar-se do patrimônio artístico e da cultura corporal de movimento de diferentes tempos e lugares, compreendendo a sua diversidade, bem como os processos de disputa por legitimidade."
EM13LGG602,Linguagens e suas Tecnologias,"Fruir e apreciar esteticamente diversas manifestações artísticas e culturais, das locais às mundiais, assim como delas participar, de modo a aguçar continuamente a sensibilidade, a imaginação e a criatividade."
EM13LGG603,Linguagens e suas Tecnologias,"Expressar-se e atuar em processos criativos que integrem diferentes linguagens artísticas e referências estéticas e culturais, recorrendo a conhecimentos de naturezas diversas (artísticos, históricos, sociais e políticos) e experiências individuais e coletivas."
EM13LGG604,Linguagens e suas Tecnologias,"Relacionar as práticas artísticas e da cultura corporal do movimento às diferentes dimensões da vida social, cultural, política, histórica e econômica. 489 LINGUAGENS E SUAS TECNOLOGIAS ENSINO MÉDIO."
EM13LGG701,Linguagens e suas Tecnologias,"Explorar tecnologias digitais da informação e comunicação (TDIC), compreendendo seus princípios e funcionalidades, e mobilizá-las de modo ético, responsável e adequado a práticas de linguagem em diferentes contextos."
EM13LGG702,Linguagens e suas Tecnologias,"Avaliar o impacto das tecnologias digitais da informação e comunicação (TDIC) na formação do sujeito e em suas práticas sociais, para fazer uso crítico dessa mídia em práticas de seleção, compreensão e produção de discursos em ambiente digital."
EM13LGG703,Linguagens e suas Tecnologias,"Utilizar diferentes linguagens, mídias e ferramentas digitais em processos de produção coletiva, colaborativa e projetos autorais em ambientes digitais."
