código,etapa,ano_ou_faixa,campo_experiência,componente,número,habilidade,unidade_tematica,objeto_conhecimento,em_foco,mf_classificacao,mf_conhecimento_previo,mf_objetivos,mf_competencias,mf_habilidades_relacionadas,mf_comentarios
EF01CI01,Ensino Fundamental,01,,Ciências,01,"Comparar características de diferentes materiais presentes em objetos de uso cotidiano, discutindo sua origem, os modos como são descartados e como podem ser usados de forma mais consciente.",Matéria e energia,Características dos materiais,sim,AF,,"• Reconhecer a utilidade dos objetos para a realização de atividades da vida cotidiana.
• Relacionar as características dos objetos com sua utilização.
• Comparar os objetos por meio da análise dos materiais de que são feitos.
• Identificar formas adequadas de descarte de diferentes objetos.
• Discutir os riscos, para a saúde e para o ambiente, do descarte inadequado de objetos.","CE: 5 e 8
CG: 2 e 10",,"O tema está alinhado ao Objetivo de Desenvolvimento Sustentável (ODS) 12, sobre consumo e produção sustentáveis. Comparar está relacionado a compreender fatos e classificações. Para desenvolver essa habilidade, podem-se usar estratégias para que os estudantes observem e manipulem diferentes objetos do cotidiano, identificando algumas características dos materiais que o compõem e se podem ou não ser reciclados ou reutilizados."
EF01CI02,Ensino Fundamental,01,,Ciências,02,"Localizar, nomear e representar graficamente (por meio de desenhos) partes do corpo humano e explicar suas funções.",Vida e evolução,Respeito à diversidade,sim,AF,,"• Desenhar e nomear partes do corpo humano.
• Explicar a função das partes do corpo representadas em desenhos.
• Identificar as funções de diferentes estruturas do corpo humano (olhos, mãos, pés etc.).","CE: 6 e 7
CG: 2 e 8",,"A observação, a classificação e o registro são procedimentos muito utilizados em Ciências da Natureza. Por isso, é importante detalhar habilidades relativas à investigação. Isso pode ser feito pela construção de um modelo ilustrado ou tridimensional pelo estudante, identificando as partes do corpo e suas respectivas funções, ou pelo reconhecimento do corpo em outros modelos, como bonecos, pinturas e fotografias."
EF01CI03,Ensino Fundamental,01,,Ciências,03,"Discutir as razões pelas quais os hábitos de higiene do corpo (lavar as mãos antes de comer, escovar os dentes, limpar os olhos, o nariz e as orelhas etc.) são necessários para a manutenção da saúde.",Vida e evolução,Respeito à diversidade,sim,AF,EF01CI02,"• Identificar e listar os hábitos de higiene do corpo.
• Reconhecer a importância de hábitos diários de higiene do corpo humano para a manutenção da saúde.
• Valorizar o autocuidado por meio de hábitos de higiene.","CE: 7
CG: 2 e 8",EF01CI04,"Tema relacionado ao ODS 3, que promove a boa saúde e o bem-estar. Discutir, nesse caso, significa estabelecer relações entre a prevenção de contágio ou de proliferação de doenças e os hábitos de cuidados individuais. É importante relacioná-los com a proteção contra doenças causadas por microorganismos, como a cárie, ou a interrupção de patologias contagiosas, como a gripe e associá-los a atividades do cotidiano, como andar calçado e comer alimentos higienizados."
EF01CI04,Ensino Fundamental,01,,Ciências,04,"Comparar características físicas entre os colegas, reconhecendo a diversidade e a importância da valorização, do acolhimento e do respeito às diferenças.",Vida e evolução,Respeito à diversidade,,,,,,,
EF01CI05,Ensino Fundamental,01,,Ciências,05,"Identificar e nomear diferentes escalas de tempo: os períodos diários (manhã, tarde, noite) e a sucessão de dias, semanas, meses e anos.",Terra e Universo,Escalas de tempo,sim,AF,,"• Relatar atividades diárias e relacioná-las com diferentes períodos do dia.
• Identificar dias, semanas e meses no calendário.
• Elaborar rotina de atividades escolares diárias e semanais.","CE: 2
CG: 1 e 3",EF01CI06,"Para essa habilidade, é importante que os estudantes exercitem a observação, a exemplificação e o relato de características observáveis dos períodos diários. O relato pode ser feito por meio de pequenas descrições orais ou desenhos, principalmente considerando a etapa de alfabetização em que se encontra a turma. Elaborar uma rotina de atividades diárias pode ajudar o estudante a reconhecer e demonstrar as marcações de tempo estabelecidas pela humanidade, como calendários e horários."
EF01CI06,Ensino Fundamental,01,,Ciências,06,Selecionar exemplos de como a sucessão de dias e noites orienta o ritmo de atividades diárias de seres humanos e de outros seres vivos.,Terra e Universo,Escalas de tempo,,,,,,,
EF01ER01,Ensino Fundamental,01,,Ensino Religioso,01,"Identificar e acolher as semelhanças e diferenças entre o eu, o outro e o nós.",Identidades e alteridades,"O eu, o outro e o nós",,,,,,,
EF01ER02,Ensino Fundamental,01,,Ensino Religioso,02,Reconhecer que o seu nome e o das demais pessoas os identificam e os diferenciam.,Identidades e alteridades,"O eu, o outro e o nós",,,,,,,
EF01ER03,Ensino Fundamental,01,,Ensino Religioso,03,Reconhecer e respeitar as características físicas e subjetivas de cada um.,Identidades e alteridades,Imanência e transcendência,,,,,,,
EF01ER04,Ensino Fundamental,01,,Ensino Religioso,04,Valorizar a diversidade de formas de vida.,Identidades e alteridades,Imanência e transcendência,,,,,,,
EF01ER05,Ensino Fundamental,01,,Ensino Religioso,05,"Identificar e acolher sentimentos, lembranças, memórias e saberes de cada um.",Manifestações religiosas,"Sentimentos, lembranças, memórias e saberes",,,,,,,
EF01ER06,Ensino Fundamental,01,,Ensino Religioso,06,"Identificar as diferentes formas pelas quais as pessoas manifestam sentimentos, ideias, memórias, gostos e crenças em diferentes espaços.",Manifestações religiosas,"Sentimentos, lembranças, memórias e saberes",,,,,,,
EF01GE01,Ensino Fundamental,01,,Geografia,01,"Descrever características observadas de seus lugares de vivência (moradia, escola etc.) e identificar semelhanças e diferenças entre esses lugares.",O sujeito e seu lugar no mundo,O modo de vida das crianças em diferentes lugares,sim,AF,"EI03EF01, EI03EO04 e EI03EO06","• Reconhecer elementos da paisagem nos lugares de vivência, identificando semelhanças e diferenças entre eles.
• Distinguir cômodos da moradia e/ou das dependências da escola, descrevendo suas características e usos.
• Indicar locais de trabalho e atuação de diferentes profissionais nos lugares de vivência.
• Comparar diversos tipos de moradia, descrevendo suas características e os materiais utilizados em sua contrução.
• Comparar características de parques, praças e demais espaços de lazer nos seus lugares de vivência.","CG: 1 e 2
CA: 3 e 7
CE: 1 e 3","AC:
EF01GE03: pode ser desenvolvida junto à AF.
EF01GE06: pode ser desenvolvida junto à AF.
EF01GE07: pode ser desenvolvida junto à AF.
AF:
EF01GE09: pode ser desenvolvida junto à AF.
EF01HI02: amplia o conhecimento da AF.","O desenvolvimento dessa habilidade possibilita que o estudante comece a reconhecer aspectos do espaço geográfico com base na noção de lugar, dimensão do cotidiano em que são construídas relações de afetividade e pertencimento. Torna-se importante desenvolver atividades que permitam abordar princípios do raciocínio geográfico como analogia e diferenciação, tomando como referência a observação e a descrição da paisagem e da organização de seus espaços de vivência como a moradia, a escola, a rua, o bairro, os espaços públicos de lazer, entre outros. Ao longo dos Anos Iniciais, o trabalho com as noções de lugar e paisagem contribui para a construção progressiva de outras noções de cidadania e sociabilidade. Ao se observar os lugares de vivência e as relações sociais neles estabelecidas, pode-se refletir sobre as formas de convívio de diversos grupos sociais e sobre a responsabilidade individual e, principalmente, coletiva de sua conservação.
Pode ser desenvolvido um trabalho conjunto com o componente História (ver habilidade EF01HI02)."
EF01GE02,Ensino Fundamental,01,,Geografia,02,Identificar semelhanças e diferenças entre jogos e brincadeiras de diferentes épocas e lugares.,O sujeito e seu lugar no mundo,O modo de vida das crianças em diferentes lugares,sim,AF,"EI03ET01, EI03EF02 e EI03ET05","• Comparar jogos e brincadeiras realizados em diferentes tempos e locais.
• Comparar brinquedos utilizados em diferentes épocas, considerando técnicas e materiais usados em sua confecção.
• Identificar diferentes locais em que brincadeiras podem ser praticadas (como dentro e fora da moradia).","CG: 1 e 2
CA: 3, 5 e 7
CE: 3","AC:
EF01GE06: pode ser desenvolvida junto à AF.
AF:
EF01GE08: pode ser desenvolvida junto à AF.
EF01GE09: pode ser desenvolvida junto à AF.
EF01HI05: pode ser desenvolvida junto à AF.","Essa habilidade tem conexão interdisciplinar com o componente História no sentido de desenvolver a habilidade EF01HI05, que também prevê que o estudante identifique semelhanças e diferenças entre jogos e brincadeiras atuais e de outras épocas e lugares. Ela permite que se reconheça o brincar, como direito fundamental das crianças, e que o aluno aborde princípios do raciocínio geográfico como analogia e diferenciação, a partir da identificação de diferentes espacialidades e temporalidades relacionadas a jogos e brincadeiras, manifestações culturais tão significativas para crianças de todo o mundo. Ao se trabalhar características de brinquedos e jogos físicos, também pode-se realizar um trabalho interdisciplinar com Ciências, tendo em vista a habilidade EF01CI01, em que se prevê que o aluno reconheça características de diferentes materiais presentes em objetos de uso cotidiano, conversando sobre sua origem, os modos como são descartados e como podem ser usados de forma mais consciente."
EF01GE03,Ensino Fundamental,01,,Geografia,03,"Identificar e relatar semelhanças e diferenças de usos do espaço público (praças, parques) para o lazer e diferentes manifestações.",O sujeito e seu lugar no mundo,Situações de convívio em diferentes lugares,,,,,,,
EF01GE04,Ensino Fundamental,01,,Geografia,04,"Discutir e elaborar, coletivamente, regras de convívio em diferentes espaços (sala de aula, escola etc.).",O sujeito e seu lugar no mundo,Situações de convívio em diferentes lugares,,,,,,,
EF01GE05,Ensino Fundamental,01,,Geografia,05,"Observar e descrever ritmos naturais (dia e noite, variação de temperatura e umidade etc.) em diferentes escalas espaciais e temporais, comparando a sua realidade com outras.",Conexões e escalas,Ciclos naturais e a vida cotidiana,sim,AF,"EI03ET03, EI03EF01, EI03EO04 e EI03EO06","• Distinguir características de uma mesma paisagem de dia e de noite.
• Reconhecer diferentes características do tempo atmosférico no lugar de vivência por meio da comparação com outras localidades ou  épocas do ano.
• Elaborar símbolos para representar características do tempo atmosférico.
• Relacionar diferentes condições do tempo atmosférico com os hábitos alimentares e o modo de vestir.
• Identificar materiais das roupas utilizadas em diferentes condições de tempo atmosférico.","CG: 1 e 2
CA: 3, 5 e 7
CE: 1 e 3","AC:
EF01GE06: pode ser desenvolvida junto à AF.
EF01GE10: pode ser desenvolvida junto à AF.
EF01GE11: pode ser desenvolvida junto à AF.
AF:
EF01GE08: pode ser desenvolvida junto à AF.","Considerando o princípio da analogia, essa habilidade possibilita que o estudante observe diferentes fenômenos e ciclos naturais no seu lugar de vivência comparando com épocas distintas nesse mesmo lugar ou com outras localidades (sincronicamente).  Ao se atentar às condições atmosféricas, o estudante pode estabelecer relações entre o tempo atmosférico com o uso de diferentes roupas (percebendo as características enquanto objetos) e reconhecendo as que mais costuma vestir ao longo das diferentes épocas do ano. Pode-se propor atividades nas quais tenha que contrastar a realidade do lugar de viver com condições de tempo atmosférico rigorosas existentes em outras localidades (local muito quente, muito frio, muito úmido, muito seco, com muito vento), atentando que as adaptações a essas condições dependem de boas condições socioeconômicas ou de infraestrutura. Importa também que o estudante estabeleça correlações entre ritmos da natureza, condições atmosféricas e hábitos de alimentação, podendo identificar alimentos que costuma comer em diferentes épocas do ano (como frutas sazonais e comidas frias e quentes, mais ou menos calóricas). Essa habilidade permite aproximação com o tema contemporâneo transversal educação alimentar e nutricional."
EF01GE06,Ensino Fundamental,01,,Geografia,06,"Descrever e comparar diferentes tipos de moradia ou objetos de uso cotidiano (brinquedos, roupas, mobiliários), considerando técnicas e materiais utilizados em sua produção.",Mundo do trabalho,Diferentes tipos de trabalho existentes no seu dia a dia,,,,,,,
EF01GE07,Ensino Fundamental,01,,Geografia,07,Descrever atividades de trabalho relacionadas com o dia a dia da sua comunidade.,Mundo do trabalho,Diferentes tipos de trabalho existentes no seu dia a dia,,,,,,,
EF01GE08,Ensino Fundamental,01,,Geografia,08,"Criar mapas mentais e desenhos com base em itinerários, contos literários, histórias inventadas e brincadeiras.",Formas de representação e pensamento espacial,Pontos de referência,sim,AF/AC,EI03EF01 e EI03EF06,"• Representar trajetos do dia a dia por meio de mapa mental.
• Representar brinquedos, brincadeiras e lugares de brincar favoritos por meio de desenhos.
• Representar atividades de trabalho, tipos de moradia e/ou ritmos da natureza por meio de desenho inspirado em contos literários, poemas, canções e histórias inventadas.","CG: 1 e 4
CA: 7
CE: 3 e 4","AF:
EF01GE01: pode ser desenvolvida junto à AF.
EF01GE02: pode ser desenvolvida junto à AF.
EF01GE05: pode ser desenvolvida junto à AF.","Essa habilidade está relacionada ao início do processo  de alfabetização cartográfica. Progressivamente, o estudante ao longo dos anos do Ensino Fundamental vai desenvolver atividades de interpretação e elaboração de diferentes formas de representar realidades espaciais. Nessa habilidade, prevê-se procedimentos de desenvolvimento do pensamento espacial a partir de representações espaciais dos lugares de vivência, assim como de outras elaboradas com base em referências espaciais imaginárias e lúdicas. É possível propor atividades que exijam elaborar mapas mentais nos quais se registrem diferentes trajetos cotidianos dentro da escola ou no seu entorno (como o trajeto moradia-escola). Também se pode solicitar a elaboração de desenhos representando objetos do dia a dia, podendo dar início às ideias de diferenciar escalas (tamanho real x tamanho reduzido) e distâncias."
